parent,cat,word,word_level,pos
,,管理百科,120,n
,,经济百科,120,n
,,金融百科,120,n
金融百科,categories,抵押,119,n
金融百科,categories,典当,119,n
金融百科,categories,金融学家,119,n
金融百科,categories,金融投资家,119,n
,,法律百科,120,n
,,行业百科,120,n
行业百科,categories,抵押,119,n
行业百科,categories,典当,119,n
,,综合条目,120,n
综合条目,categories,金融投资家,119,n
典当,word,典当,118,n
典当,word,不动产典当,118,n
典当,word,出典人,118,n
典当,word,财产权利质押典当业务,118,n
典当,word,抽当,118,n
典当,word,典当市场,118,n
典当,word,典当行,118,n
典当,word,典当融资,118,n
典当,word,典权,118,n
典当,word,典权人,118,n
典当,word,动产质押典当,118,n
典当,word,典当房屋回赎期限,118,n
典当,word,典期,118,n
典当,word,典物出租,118,n
典当,word,转典,118,n
典当,word,典物留买,118,n
典当,word,典金,118,n
典当,word,典当利率,118,n
典当,word,找贴差额款,118,n
典当,word,典权转让,118,n
典当,word,典当行为,118,n
典当,word,动产典当,118,n
典当,word,典当当事人,118,n
典当,word,典当法,118,n
典当,word,典当法律关系,118,n
典当,word,当票,118,n
典当,word,典物估价,118,n
典当,word,典当合同,118,n
典当,word,典当综合费用,118,n
典当,word,当户,118,n
典当,word,典当文化,118,n
典当,word,典当费率,118,n
典当,word,顶当,118,n
典当,word,动产抵押典当,118,n
典当,word,典当物品,118,n
典当,word,典当物品保管,118,n
典当,word,房地产典当,118,n
典当,word,房屋典当纠纷,118,n
典当,word,股票典当,118,n
典当,word,回赎期限,118,n
典当,word,绝当品,118,n
典当,word,绝卖,118,n
典当,word,机动车典当,118,n
典当,word,民品典当,118,n
典当,word,死当,118,n
典当,word,收当,118,n
典当,word,赎当,118,n
典当,word,审当,118,n
典当,word,提前赎当,118,n
典当,word,续当,118,n
典当,word,消费型典当,118,n
典当,word,以物换钱规则,118,n
典当,word,应急型典当,118,n
典当,word,验当,118,n
典当,word,逾期赎当,118,n
典当,word,找贴,118,n
典当,word,折当率,118,n
典当,word,折当,118,n
抵押,word,抵押,118,n
抵押,word,按揭,118,n
抵押,word,按份共同抵押,118,n
抵押,word,不动产抵押,118,n
抵押,word,标准抵押贷款证券,118,n
抵押,word,保全抵押权,118,n
抵押,word,次级抵押贷款,118,n
抵押,word,财团抵押,118,n
抵押,word,重复抵押,118,n
抵押,word,次优级抵押贷款,118,n
抵押,word,超额抵押,118,n
抵押,word,超值抵押,118,n
抵押,word,打包放款,118,n
抵押,word,抵押参与证,118,n
抵押,word,抵押银行,118,n
抵押,word,动产抵押,118,n
抵押,word,抵押贷款,118,n
抵押,word,抵押合同,118,n
抵押,word,抵押权登记,118,n
抵押,word,抵押权,118,n
抵押,word,抵押债券,118,n
