parent,cat,word,word_level,pos
,,管理百科,120,n
,,经济百科,120,n
,,金融百科,120,n
,,法律百科,120,n
,,行业百科,120,n
行业百科,categories,行业协会,119,n
,,综合条目,120,n
行业协会,categories,行业协会标志,118,n
行业协会,word,国际证券交易所联合会,118,n
行业协会,word,行业协会,118,n
行业协会,word,行业价格协会,118,n
行业协会,word,基金同业协会,118,n
行业协会,word,美国期货业协会,118,n
行业协会,word,美国投资公司协会,118,n
行业协会,word,欧洲信息提供者协会,118,n
行业协会,word,同业公会,118,n
行业协会,word,中国物流行业协会,118,n
行业协会,word,中国证券业协会,118,n
行业协会,word,中国期货业协会,118,n
行业协会,word,中国银行业协会,118,n
行业协会,word,中国钢铁工业协会,118,n
行业协会,word,中国市场信息调查业协会,118,n
行业协会,word,中国支付清算协会,118,n
行业协会,word,中国证券投资基金业协会,118,n
