parent,cat,word,word_level,pos
,,管理百科,120,n
,,经济百科,120,n
,,金融百科,120,n
,,法律百科,120,n
,,行业百科,120,n
行业百科,categories,家电,119,n
,,综合条目,120,n
家电,categories,家电零售,118,n
家电,categories,消费电子家电公司,118,n
家电,word,家电,118,n
家电,word,白电,118,n
家电,word,变频技术,118,n
家电,word,CRT显示器,118,n
家电,word,电器,118,n
家电,word,等离子显示器,118,n
家电,word,多媒体电视,118,n
家电,word,待机能耗,118,n
家电,word,额定功率,118,n
家电,word,分辨率,118,n
家电,word,黑电,118,n
家电,word,家电下乡,118,n
家电,word,家电物流,118,n
家电,word,家庭影院,118,n
家电,word,空调运行能耗,118,n
家电,word,空调匹数,118,n
家电,word,能效标识,118,n
家电,word,能耗,118,n
家电,word,能源效率等级,118,n
家电,word,能效比,118,n
家电,word,强制性能效标准,118,n
家电,word,数字电视,118,n
家电,word,网络家电,118,n
家电,word,信息家电,118,n
家电,word,小家电,118,n
家电,word,性能系数,118,n
家电,word,液晶显示器,118,n
家电,word,液晶电视,118,n
家电,word,云电视,118,n
家电,word,智能家电,118,n
消费电子家电公司,categories,消费电子家电公司标志,117,n
消费电子家电公司,word,澳柯玛集团,117,n
消费电子家电公司,word,奥克斯集团,117,n
消费电子家电公司,word,阿里斯顿公司,117,n
消费电子家电公司,word,波导股份有限公司,117,n
消费电子家电公司,word,百富勤集团有限公司,117,n
消费电子家电公司,word,北京华旗资讯数码科技发展有限公司,117,n
消费电子家电公司,word,北京电子控股有限责任公司,117,n
消费电子家电公司,word,步步高集团,117,n
消费电子家电公司,word,长虹集团,117,n
消费电子家电公司,word,创维集团,117,n
消费电子家电公司,word,春兰集团,117,n
消费电子家电公司,word,东芝集团,117,n
消费电子家电公司,word,飞利浦电子公司,117,n
消费电子家电公司,word,法国汤姆逊公司,117,n
消费电子家电公司,word,法国爱可视股份有限公司,117,n
消费电子家电公司,word,格兰仕,117,n
消费电子家电公司,word,格力集团,117,n
消费电子家电公司,word,格力电器,117,n
消费电子家电公司,word,冠捷科技集团,117,n
消费电子家电公司,word,广东美的电器股份有限公司,117,n
消费电子家电公司,word,海尔集团,117,n
消费电子家电公司,word,海信集团,117,n
消费电子家电公司,word,华阳集团有限公司,117,n
消费电子家电公司,word,红星美凯龙家居集团股份有限公司,117,n
消费电子家电公司,word,海翼股份,117,n
消费电子家电公司,word,华帝股份有限公司,117,n
消费电子家电公司,word,JVC,117,n
消费电子家电公司,word,江苏春兰制冷设备股份有限公司,117,n
消费电子家电公司,word,康佳集团,117,n
消费电子家电公司,word,科龙集团,117,n
消费电子家电公司,word,LG集团,117,n
消费电子家电公司,word,美国惠而浦公司,117,n
消费电子家电公司,word,美的集团,117,n
消费电子家电公司,word,美菱公司,117,n
消费电子家电公司,word,美泰克公司,117,n
消费电子家电公司,word,日立集团,117,n
消费电子家电公司,word,索尼公司,117,n
消费电子家电公司,word,松下公司,117,n
消费电子家电公司,word,三星集团,117,n
消费电子家电公司,word,索尼爱立信移动通信公司,117,n
消费电子家电公司,word,实达集团,117,n
消费电子家电公司,word,斯米克集团,117,n
消费电子家电公司,word,土耳其KOC集团,117,n
消费电子家电公司,word,TCL集团,117,n
消费电子家电公司,word,万利达集团,117,n
消费电子家电公司,word,西门子公司,117,n
消费电子家电公司,word,夏普,117,n
消费电子家电公司,word,夏新电子股份有限公司,117,n
消费电子家电公司,word,小天鹅股份有限公司,117,n
消费电子家电公司,word,新美亚电子制造服务公司,117,n
消费电子家电公司,word,新飞集团,117,n
消费电子家电公司,word,新飞电器,117,n
消费电子家电公司,word,新科公司,117,n
消费电子家电公司,word,伊莱克斯公司,117,n
消费电子家电公司,word,燕舞集团,117,n
消费电子家电公司,word,中达电通股份有限公司,117,n
家电零售,word,Argos,117,n
家电零售,word,百思买集团,117,n
家电零售,word,大中电器,117,n
家电零售,word,国美电器有限公司,117,n
家电零售,word,宏图三胞高科技术股份有限公司,117,n
家电零售,word,美国电路城公司,117,n
家电零售,word,日本山田电机,117,n
家电零售,word,苏宁电器,117,n
家电零售,word,苏宁易购,117,n
家电零售,word,五星电器公司,117,n
家电零售,word,英国翠丰集团,117,n
家电零售,word,永乐,117,n
