parent,cat,word,word_level,pos
,,行业百科,120,n
行业百科,categories,支付系统,119,n
行业百科,categories,医药,119,n
行业百科,categories,烟草,119,n
行业百科,categories,招投标,119,n
行业百科,categories,支付系统,119,n
招投标,categories,投标类型,118,n
招投标,categories,招投标术语,118,n
招投标,categories,招投标策略,118,n
招投标,categories,招标类型,118,n
招投标,word,招标与投标,118,n
招投标,word,拆分招标,118,n
烟草,categories,烟草公司,118,n
烟草,word,烟草,118,n
烟草,word,二手烟,118,n
烟草,word,含末率,118,n
烟草,word,卷烟烟气,118,n
烟草,word,卷烟工艺,118,n
烟草,word,卷烟市场,118,n
烟草,word,卷烟外观质量,118,n
烟草,word,卷烟内在质量,118,n
烟草,word,卷烟制造工艺流程,118,n
烟草,word,片烟,118,n
烟草,word,评吸质量,118,n
烟草,word,特色烟叶,118,n
烟草,word,无烟气烟草制品,118,n
烟草,word,现代烟草农业,118,n
烟草,word,吸烟率,118,n
烟草,word,雪茄烟,118,n
烟草,word,烟叶,118,n
烟草,word,烟用香精香料,118,n
烟草,word,烟用材料,118,n
烟草,word,烟用添加剂,118,n
烟草,word,烟梗,118,n
烟草,word,烟草专卖品,118,n
烟草,word,烟草控制,118,n
烟草,word,烟叶调拨,118,n
烟草,word,烟草专卖,118,n
烟草,word,烟叶收购,118,n
烟草,word,烟标,118,n
烟草,word,烟碱,118,n
烟草,word,烟焦油,118,n
烟草,word,烟叶分级,118,n
烟草,word,烟叶验收规格,118,n
烟草,word,烟叶回透率,118,n
烟草,word,烟叶复烤,118,n
烟草,word,烟叶感官质量,118,n
烟草,word,烟叶质量,118,n
烟草,word,烟叶成熟度,118,n
烟草,word,烟叶发酵,118,n
烟草,word,烟草行业,118,n
烟草,word,烟草赞助,118,n
烟草,word,烟草信息化,118,n
烟草,word,烟草化学,118,n
烟草,word,再造烟叶,118,n
烟草,word,中式卷烟,118,n
医药,categories,药品零售公司,118,n
医药,word,医药,118,n
医药,word,靶向制剂,118,n
医药,word,靶向药物,118,n
医药,word,处方药,118,n
医药,word,成瘾性药物,118,n
医药,word,传统药,118,n
医药,word,促凝血药,118,n
医药,word,成本-效果分析,118,n
医药,word,毒性药品,118,n
医药,word,动物性药,118,n
医药,word,电子处方,118,n
医药,word,单独定价药品,118,n
医药,word,二次议价,118,n
医药,word,二类疫苗,118,n
医药,word,非处方药,118,n
医药,word,放射性药品,118,n
医药,word,仿制药品,118,n
医药,word,非甾体抗炎药,118,n
医药,word,法定处方,118,n
医药,word,国家药物政策,118,n
医药,word,国家基本药物,118,n
医药,word,国家储备药品,118,n
医药,word,个体化用药,118,n
医药,word,化疗药物,118,n
医药,word,化学治疗药,118,n
医药,word,互联网药品信息服务,118,n
医药,word,化学合成药物,118,n
医药,word,合理用药,118,n
医药,word,互联网药品交易服务,118,n
医药,word,精神药品,118,n
医药,word,基本药物,118,n
医药,word,基本医疗保险用药,118,n
医药,word,静脉药物配制,118,n
医药,word,进口药品分包装,118,n
医药,word,解毒药品,118,n
医药,word,激素类药物,118,n
医药,word,抗病毒药物,118,n
医药,word,抗精神病药物,118,n
医药,word,矿物药,118,n
医药,word,抗微生物药品,118,n
医药,word,抗感染药物,118,n
医药,word,抗过敏药物,118,n
医药,word,抗肿瘤药物,118,n
医药,word,抗抑郁药,118,n
医药,word,抗癫痫药物,118,n
医药,word,抗菌药,118,n
医药,word,抗凝血药,118,n
医药,word,抗高血压药,118,n
医药,word,临床前研究,118,n
医药,word,零售药房,118,n
医药,word,临时处方,118,n
医药,word,利尿药,118,n
医药,word,临方制剂,118,n
医药,word,冷链药品,118,n
医药,word,免煎中药,118,n
医药,word,麻醉药品,118,n
医药,word,麻醉药,118,n
医药,word,民族药,118,n
医药,word,耐受性,118,n
医药,word,普通药品,118,n
医药,word,普通制剂,118,n
医药,word,前体药物,118,n
医药,word,前药,118,n
医药,word,软药,118,n
医药,word,生物医药,118,n
医药,word,生化药品,118,n
医药,word,上市药品,118,n
医药,word,市场调节价药品,118,n
医药,word,生物药品,118,n
医药,word,首营品种,118,n
医药,word,特殊管理药品,118,n
医药,word,天然药物,118,n
医药,word,脱水药,118,n
医药,word,外用药,118,n
医药,word,维生素类药物,118,n
医药,word,网上药店,118,n
医药,word,现代药,118,n
医药,word,新药,118,n
医药,word,协定处方,118,n
医药,word,新药保护,118,n
医药,word,新药技术转让,118,n
医药,word,新药申请,118,n
医药,word,消毒防腐药,118,n
医药,word,血液制品,118,n
医药,word,心血管药物,118,n
医药,word,医药包装,118,n
医药,word,药品专利链接制度,118,n
医药,word,药品分类管理,118,n
医药,word,药剂管理,118,n
医药,word,药品标签,118,n
医药,word,药品信息,118,n
医药,word,医疗机构制剂,118,n
医药,word,药物滥用,118,n
医药,word,药品监督管理,118,n
医药,word,药品不良反应,118,n
医药,word,药品质量监督检验,118,n
医药,word,药物依赖性,118,n
医药,word,药品标准,118,n
医药,word,医药商品编码,118,n
医药,word,药品有效期,118,n
医药,word,药品质量,118,n
医药,word,药事管理,118,n
医药,word,药学事业,118,n
医药,word,药品,118,n
医药,word,药品召回,118,n
医药,word,药事组织,118,n
医药,word,药品检验机构,118,n
医药,word,药事服务,118,n
医药,word,药品生产,118,n
医药,word,药品质量监督管理,118,n
医药,word,药品监督,118,n
医药,word,药品淘汰,118,n
医药,word,药品注册检验,118,n
医药,word,药品注册标准,118,n
医药,word,药品生产管理,118,n
医药,word,药品经营,118,n
医药,word,药品经营管理,118,n
医药,word,药品流通,118,n
医药,word,医疗机构药事管理,118,n
医药,word,药品管理,118,n
医药,word,医药知识产权,118,n
医药,word,药品商标,118,n
医药,word,医药商业秘密,118,n
医药,word,药品注册,118,n
医药,word,药品注册管理,118,n
医药,word,药物临床研究,118,n
医药,word,药品再注册,118,n
医药,word,药品标准物质,118,n
医药,word,药品价格,118,n
医药,word,药品信息活动,118,n
医药,word,药品信息管理,118,n
医药,word,药品质量管理,118,n
医药,word,药学服务管理,118,n
医药,word,药物相互作用,118,n
医药,word,药物错误,118,n
医药,word,药品市场营销,118,n
医药,word,药品市场,118,n
医药,word,药品市场性能,118,n
医药,word,药品流通渠道,118,n
医药,word,药品批发企业,118,n
医药,word,药品零售企业,118,n
医药,word,药品电子商务,118,n
医药,word,药品价格管理,118,n
医药,word,药品促销,118,n
医药,word,药品调剂,118,n
医药,word,药品保管,118,n
医药,word,药学保健,118,n
医药,word,药品专利权,118,n
医药,word,药品可及性,118,n
医药,word,药品平行进口,118,n
医药,word,药品知识产权,118,n
医药,word,药品专利,118,n
医药,word,药品商标权,118,n
医药,word,医药未披露数据,118,n
医药,word,药物利用研究,118,n
医药,word,药品经营企业,118,n
医药,word,药品GMP飞行检查,118,n
医药,word,药品不良事件,118,n
医药,word,药品上市后再评价,118,n
医药,word,药包材,118,n
医药,word,药包材标准,118,n
医药,word,药学职业道德,118,n
医药,word,药学职业道德教育,118,n
医药,word,药学职业道德规范,118,n
医药,word,药品行政保护,118,n
医药,word,药物代谢,118,n
医药,word,药物作用,118,n
医药,word,药物消除,118,n
医药,word,药理效应,118,n
医药,word,药物作用机制,118,n
医药,word,药物残留,118,n
医药,word,药物吸收,118,n
医药,word,药物分布,118,n
医药,word,药物排泄,118,n
医药,word,药物配伍,118,n
医药,word,药物配伍禁忌,118,n
医药,word,硬药,118,n
医药,word,药物研制,118,n
医药,word,药物纯度,118,n
医药,word,药物杂质,118,n
医药,word,药物疗效,118,n
医药,word,药物过敏,118,n
医药,word,药事服务费,118,n
医药,word,药价虚高,118,n
医药,word,药品招标,118,n
医药,word,药品招商,118,n
医药,word,药品生产企业,118,n
医药,word,药品冷链物流,118,n
医药,word,原研药,118,n
医药,word,药品经销,118,n
医药,word,药品代理,118,n
医药,word,药品加成率,118,n
医药,word,医药分开,118,n
医药,word,药品异地生产,118,n
医药,word,医药行业,118,n
医药,word,药品福利管理,118,n
医药,word,药品上市许可人制度,118,n
医药,word,一类疫苗,118,n
医药,word,疫苗冷链,118,n
支付系统,word,电子支付系统,118,n
支付系统,word,安心付,118,n
支付系统,word,安付通,118,n
支付系统,word,ATM跨行转账,118,n
支付系统,word,Apple Pay,118,n
支付系统,word,百付宝,118,n
支付系统,word,财付通,118,n
支付系统,word,超级网银,118,n
支付系统,word,CNAPS行号,118,n
支付系统,word,电子钱包,118,n
支付系统,word,大额实时支付系统,118,n
支付系统,word,电子支票系统,118,n
支付系统,word,电视支付系统,118,n
支付系统,word,第二代支付系统,118,n
支付系统,word,电子现金支付系统,118,n
支付系统,word,EBPP,118,n
支付系统,word,二清机构,118,n
支付系统,word,国库集中支付系统,118,n
支付系统,word,公路计量支付系统,118,n
支付系统,word,柜面通,118,n
支付系统,word,行名行号管理系统,118,n
支付系统,word,后支付系统,118,n
支付系统,word,净额支付系统,118,n
支付系统,word,集中代收付系统,118,n
支付系统,word,境内外币支付系统,118,n
支付系统,word,净额定时支付系统,118,n
支付系统,word,金融支付服务,118,n
支付系统,word,金融支付清算系统,118,n
支付系统,word,开账与结算计划,118,n
支付系统,word,卡基支付,118,n
支付系统,word,离线交易系统,118,n
支付系统,word,POS系统,118,n
支付系统,word,Paypal,118,n
支付系统,word,移动POS支付系统,118,n
支付系统,word,凭证支付系统,118,n
支付系统,word,全国电子联行系统,118,n
支付系统,word,全额实时支付系统,118,n
支付系统,word,人脸识别支付系统,118,n
支付系统,word,人民币跨境支付系统,118,n
支付系统,word,首信易,118,n
支付系统,word,手机支付系统,118,n
支付系统,word,手机支付卡,118,n
支付系统,word,同城清算系统,118,n
支付系统,word,统一支付系统,118,n
支付系统,word,VTM,118,n
支付系统,word,网上清算跨行支付系统,118,n
支付系统,word,网上支付系统,118,n
支付系统,word,信用卡支付系统,118,n
支付系统,word,虚拟POS系统,118,n
支付系统,word,余额宝,118,n
支付系统,word,银校直联无现金支付系统,118,n
支付系统,word,央行支付系统,118,n
支付系统,word,银行支付系统,118,n
支付系统,word,银联在线支付,118,n
支付系统,word,易宝支付,118,n
支付系统,word,联动优势,118,n
支付系统,word,预支付系统,118,n
支付系统,word,自动柜员机,118,n
支付系统,word,支付宝,118,n
支付系统,word,中国现代化支付系统,118,n
支付系统,word,支票影像交换系统,118,n
支付系统,word,自动清算所,118,n
支付系统,word,支付系统风险,118,n
支付系统,word,支付系统流动性风险,118,n
支付系统,word,支付指令,118,n
支付系统,word,指纹支付,118,n
支付系统,word,支付系统操作风险,118,n
支付系统,word,支付系统清算账户,118,n
支付系统,word,支付脱媒,118,n
支付系统,word,支付工具,118,n
支付系统,word,支付媒介,118,n
支付系统,word,账户支付系统,118,n
支付系统,word,在线交易系统,118,n
支付系统,word,主机卡模拟,118,n
支付系统,word,智能交易,118,n
招标类型,word,电子招投标,117,n
招标类型,word,服务招标,117,n
招标类型,word,费率招标,117,n
招标类型,word,国际招投标,117,n
招标类型,word,规避招标,117,n
招标类型,word,公开招标,117,n
招标类型,word,国际竞争性招标,117,n
招标类型,word,公开招标选购,117,n
招标类型,word,国内竞争性招标,117,n
招标类型,word,公开竞争性招标,117,n
招标类型,word,国际工程招标,117,n
招标类型,word,国际有限招标,117,n
招标类型,word,工程招标,117,n
招标类型,word,国内工程招标投标,117,n
招标类型,word,国债混合式招标,117,n
招标类型,word,工程监理招标,117,n
招标类型,word,广告招标,117,n
招标类型,word,荷兰式招标,117,n
招标类型,word,货物招标,117,n
招标类型,word,竞争性招标,117,n
招标类型,word,价格招标,117,n
招标类型,word,集中招标,117,n
招标类型,word,缴款期招标,117,n
招标类型,word,技术招标,117,n
招标类型,word,计量项目招标,117,n
招标类型,word,框架协议招标,117,n
招标类型,word,两段招标,117,n
招标类型,word,美国式招标,117,n
招标类型,word,秘密招标,117,n
招标类型,word,平行招标,117,n
招标类型,word,强制招标,117,n
招标类型,word,数量招标,117,n
招标类型,word,施工招标,117,n
招标类型,word,收益率招标,117,n
招标类型,word,审计招标,117,n
招标类型,word,特邀招标,117,n
招标类型,word,无标底招标,117,n
招标类型,word,物业管理招标,117,n
招标类型,word,委托招标,117,n
招标类型,word,项目法人招标,117,n
招标类型,word,邀请招标,117,n
招标类型,word,自行招标,117,n
招标类型,word,咨询服务招标,117,n
招投标策略,word,A+B值评标法,117,n
招投标策略,word,A标法,117,n
招投标策略,word,不平衡报价法,117,n
招投标策略,word,B标法,117,n
招投标策略,word,低价竞标,117,n
招投标策略,word,工程量清单招标,117,n
招投标策略,word,国际工程投标,117,n
招投标策略,word,合理最低价评标法,117,n
招投标策略,word,合理低价竞标,117,n
招投标策略,word,阶梯报价法,117,n
招投标策略,word,价值工程评标,117,n
招投标策略,word,竞争性发包,117,n
招投标策略,word,技术评审,117,n
招投标策略,word,计分评标法,117,n
招投标策略,word,竞标定价法,117,n
招投标策略,word,双信封评标法,117,n
招投标策略,word,密封投标定价法,117,n
招投标策略,word,双信封无标底,117,n
招投标策略,word,随机应变策略,117,n
招投标策略,word,商务评审,117,n
招投标策略,word,投标风险管理策略,117,n
招投标策略,word,无标底评标,117,n
招投标策略,word,现场决标评标法,117,n
招投标策略,word,行政性评审,117,n
招投标策略,word,一阶段招标法,117,n
招投标策略,word,综合评标法,117,n
招投标策略,word,综合评估法,117,n
招投标策略,word,先亏后盈法,117,n
招投标术语,word,暗标,117,n
招投标术语,word,标底价格,117,n
招投标术语,word,标底审查,117,n
招投标术语,word,标书,117,n
招投标术语,word,标底,117,n
招投标术语,word,不正当竞标,117,n
招投标术语,word,编制标底,117,n
招投标术语,word,串标,117,n
招投标术语,word,初步评标,117,n
招投标术语,word,唱标,117,n
招投标术语,word,定标,117,n
招投标术语,word,垫资承包施工,117,n
招投标术语,word,大宗商品交易招标书,117,n
招投标术语,word,多方案报价,117,n
招投标术语,word,废标,117,n
招投标术语,word,复合标底,117,n
招投标术语,word,FIDIC合同条件,117,n
招投标术语,word,符合性检查,117,n
招投标术语,word,复合标底评标,117,n
招投标术语,word,服装招标投标,117,n
招投标术语,word,发标,117,n
招投标术语,word,工程量清单,117,n
招投标术语,word,工程量清单计价,117,n
招投标术语,word,工程招标代理,117,n
招投标术语,word,工程设计招投标,117,n
招投标术语,word,国际工程招标方式,117,n
招投标术语,word,标前会议,117,n
招投标术语,word,工程投标风险评价,117,n
招投标术语,word,公开招标书,117,n
招投标术语,word,工程招标书,117,n
招投标术语,word,赶工措施费,117,n
招投标术语,word,工程材料设备采购招标,117,n
招投标术语,word,合理低价中标,117,n
招投标术语,word,合理定价评审抽取法,117,n
招投标术语,word,经济标,117,n
招投标术语,word,技术标,117,n
招投标术语,word,技术规格,117,n
招投标术语,word,决标,117,n
招投标术语,word,开标,117,n
招投标术语,word,开标价格,117,n
招投标术语,word,履约保证金,117,n
招投标术语,word,流标,117,n
招投标术语,word,拦标价,117,n
招投标术语,word,陪标,117,n
招投标术语,word,评标,117,n
招投标术语,word,评标专家,117,n
招投标术语,word,评标报告,117,n
招投标术语,word,潜在投标人,117,n
